generation,hunting_strategy,prey_type,stat_avg,pred_num
50,pursuit,"Bird",28.85648148,54
51,pursuit,"Bird",28.77049180,61
52,pursuit,"Bird",28.61320755,53
53,pursuit,"Bird",28.69140625,64
54,pursuit,"Bird",28.41532258,62
55,pursuit,"Bird",28.45673077,52
56,pursuit,"Bird",28.43534483,58
57,pursuit,"Bird",28.41964286,56
58,pursuit,"Bird",28.42105263,57
59,pursuit,"Bird",28.39705882,51
60,pursuit,"Bird",28.38043478,46
61,pursuit,"Bird",28.38020833,48
62,pursuit,"Bird",28.42156863,51
63,pursuit,"Bird",28.39830508,59
64,pursuit,"Bird",28.35775862,58
65,pursuit,"Bird",28.33333333,54
66,pursuit,"Bird",28.23557692,52
67,pursuit,"Bird",28.32000000,50
68,pursuit,"Bird",28.27941176,51
69,pursuit,"Bird",28.25000000,50
70,pursuit,"Bird",28.25471698,53
71,pursuit,"Bird",28.35500000,50
72,pursuit,"Bird",28.33333333,57
73,pursuit,"Bird",28.26086957,46
74,pursuit,"Bird",28.25568182,44
75,pursuit,"Bird",28.26442308,52
76,pursuit,"Bird",28.31250000,52
77,pursuit,"Bird",28.32142857,63
78,pursuit,"Bird",28.23790323,62
79,pursuit,"Bird",28.16923077,65
80,pursuit,"Bird",28.01442308,52
81,pursuit,"Bird",28.04044118,68
82,pursuit,"Bird",28.02459016,61
83,pursuit,"Bird",27.94915254,59
84,pursuit,"Bird",27.85849057,53
85,pursuit,"Bird",27.77678571,56
86,pursuit,"Bird",27.70555556,45
87,pursuit,"Bird",27.68000000,50
88,pursuit,"Bird",27.65625000,40
89,pursuit,"Bird",27.67741935,31
90,pursuit,"Bird",27.58333333,33
91,pursuit,"Bird",27.55263158,38
92,pursuit,"Bird",27.50735294,34
93,pursuit,"Bird",27.42073171,41
94,pursuit,"Bird",27.44375000,40
95,pursuit,"Bird",27.54891304,46
96,pursuit,"Bird",27.63297872,47
97,pursuit,"Bird",27.66666667,51
98,pursuit,"Bird",27.64224138,58
99,pursuit,"Bird",27.51063830,47
100,pursuit,"Bird",27.45614035,57
