Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,48.0,10.0,9.0,43.0,0.0,Mouse
0.0,pursuit,47.0,56.0,88.0,78.0,0.0,Mouse
0.0,pursuit,77.0,95.0,76.0,68.0,0.0,Mouse
0.0,pursuit,53.0,17.0,89.0,82.0,0.0,Mouse
0.0,pursuit,76.0,36.0,72.0,58.0,0.0,Mouse
0.0,pursuit,95.0,94.0,95.0,26.0,0.0,Mouse
0.0,pursuit,22.0,87.0,9.0,6.0,0.0,Mouse
0.0,pursuit,84.0,5.0,37.0,5.0,0.0,Mouse
0.0,pursuit,31.0,29.0,90.0,81.0,0.0,Mouse
0.0,pursuit,4.0,89.0,63.0,36.0,0.0,Mouse
0.0,pursuit,46.0,37.0,4.0,5.0,0.0,Mouse
0.0,pursuit,75.0,22.0,54.0,90.0,0.0,Mouse
0.0,pursuit,4.0,87.0,88.0,58.0,0.0,Mouse
0.0,pursuit,36.0,47.0,99.0,97.0,0.0,Mouse
0.0,pursuit,39.0,47.0,3.0,94.0,0.0,Mouse
0.0,pursuit,99.0,25.0,98.0,69.0,0.0,Mouse
0.0,pursuit,79.0,65.0,44.0,23.0,0.0,Mouse
0.0,pursuit,37.0,73.0,80.0,71.0,0.0,Mouse
0.0,pursuit,34.0,63.0,83.0,43.0,0.0,Mouse
0.0,pursuit,86.0,33.0,27.0,72.0,0.0,Mouse
0.0,pursuit,93.0,12.0,96.0,65.0,0.0,Mouse
0.0,pursuit,39.0,37.0,48.0,99.0,0.0,Mouse
0.0,pursuit,47.0,49.0,48.0,3.0,0.0,Mouse
0.0,pursuit,56.0,62.0,29.0,74.0,0.0,Mouse
0.0,pursuit,59.0,10.0,4.0,39.0,0.0,Mouse
0.0,pursuit,27.0,81.0,64.0,34.0,0.0,Mouse
0.0,pursuit,44.0,92.0,12.0,67.0,0.0,Mouse
0.0,pursuit,83.0,16.0,53.0,14.0,0.0,Mouse
0.0,pursuit,98.0,73.0,22.0,26.0,0.0,Mouse
0.0,pursuit,5.0,65.0,42.0,35.0,0.0,Mouse
0.0,pursuit,63.0,95.0,97.0,98.0,0.0,Mouse
0.0,pursuit,62.0,85.0,37.0,66.0,1.0,Mouse
0.0,pursuit,2.0,9.0,42.0,37.0,0.0,Mouse
0.0,pursuit,100.0,16.0,71.0,92.0,0.0,Mouse
0.0,pursuit,63.0,5.0,60.0,28.0,0.0,Mouse
0.0,pursuit,81.0,65.0,18.0,38.0,1.0,Mouse
0.0,pursuit,46.0,53.0,96.0,100.0,0.0,Mouse
0.0,pursuit,95.0,65.0,66.0,42.0,0.0,Mouse
0.0,pursuit,53.0,41.0,42.0,15.0,0.0,Mouse
0.0,pursuit,11.0,11.0,55.0,6.0,0.0,Mouse
0.0,pursuit,94.0,45.0,48.0,26.0,0.0,Mouse
0.0,pursuit,69.0,60.0,16.0,69.0,0.0,Mouse
0.0,pursuit,50.0,38.0,99.0,48.0,1.0,Mouse
0.0,pursuit,28.0,45.0,7.0,58.0,0.0,Mouse
0.0,pursuit,94.0,13.0,98.0,57.0,0.0,Mouse
0.0,pursuit,62.0,38.0,69.0,60.0,0.0,Mouse
0.0,pursuit,99.0,64.0,80.0,46.0,0.0,Mouse
0.0,pursuit,88.0,56.0,100.0,98.0,0.0,Mouse
0.0,pursuit,74.0,83.0,1.0,48.0,0.0,Mouse
0.0,pursuit,52.0,57.0,11.0,50.0,0.0,Mouse
0.0,pursuit,38.0,23.0,65.0,45.0,0.0,Mouse
0.0,pursuit,93.0,26.0,56.0,38.0,0.0,Mouse
0.0,pursuit,59.0,37.0,86.0,70.0,0.0,Mouse
0.0,pursuit,64.0,13.0,20.0,45.0,0.0,Mouse
0.0,pursuit,11.0,94.0,52.0,61.0,0.0,Mouse
0.0,pursuit,71.0,44.0,90.0,14.0,0.0,Mouse
0.0,pursuit,40.0,30.0,47.0,81.0,0.0,Mouse
0.0,pursuit,28.0,4.0,21.0,3.0,0.0,Mouse
0.0,pursuit,43.0,71.0,4.0,16.0,0.0,Mouse
0.0,pursuit,25.0,51.0,97.0,34.0,0.0,Mouse
0.0,pursuit,57.0,42.0,1.0,86.0,0.0,Mouse
0.0,pursuit,96.0,38.0,53.0,3.0,0.0,Mouse
0.0,pursuit,28.0,37.0,66.0,91.0,0.0,Mouse
0.0,pursuit,81.0,66.0,48.0,57.0,0.0,Mouse
0.0,pursuit,17.0,63.0,29.0,95.0,0.0,Mouse
0.0,pursuit,71.0,68.0,7.0,87.0,0.0,Mouse
0.0,pursuit,69.0,52.0,69.0,11.0,0.0,Mouse
0.0,pursuit,54.0,33.0,98.0,50.0,0.0,Mouse
0.0,pursuit,18.0,19.0,50.0,54.0,0.0,Mouse
0.0,pursuit,15.0,7.0,66.0,20.0,0.0,Mouse
0.0,pursuit,41.0,22.0,99.0,4.0,0.0,Mouse
0.0,pursuit,51.0,96.0,79.0,52.0,0.0,Mouse
0.0,pursuit,52.0,59.0,17.0,86.0,0.0,Mouse
0.0,pursuit,97.0,69.0,31.0,51.0,0.0,Mouse
0.0,pursuit,53.0,66.0,55.0,100.0,0.0,Mouse
0.0,pursuit,68.0,89.0,41.0,59.0,0.0,Mouse
0.0,pursuit,31.0,71.0,10.0,52.0,0.0,Mouse
0.0,pursuit,76.0,73.0,5.0,57.0,0.0,Mouse
0.0,pursuit,71.0,38.0,90.0,27.0,0.0,Mouse
0.0,pursuit,43.0,8.0,30.0,24.0,0.0,Mouse
0.0,pursuit,89.0,32.0,63.0,81.0,0.0,Mouse
0.0,pursuit,29.0,58.0,22.0,31.0,0.0,Mouse
0.0,pursuit,26.0,66.0,31.0,20.0,0.0,Mouse
0.0,pursuit,86.0,66.0,40.0,76.0,0.0,Mouse
0.0,pursuit,31.0,15.0,60.0,19.0,0.0,Mouse
0.0,pursuit,23.0,8.0,46.0,59.0,0.0,Mouse
0.0,pursuit,98.0,65.0,42.0,97.0,0.0,Mouse
0.0,pursuit,100.0,28.0,8.0,49.0,0.0,Mouse
0.0,pursuit,72.0,98.0,64.0,72.0,0.0,Mouse
0.0,pursuit,41.0,50.0,97.0,35.0,0.0,Mouse
0.0,pursuit,36.0,45.0,21.0,61.0,0.0,Mouse
0.0,pursuit,86.0,46.0,34.0,79.0,0.0,Mouse
0.0,pursuit,79.0,5.0,32.0,74.0,0.0,Mouse
0.0,pursuit,30.0,40.0,3.0,95.0,0.0,Mouse
0.0,pursuit,29.0,45.0,60.0,96.0,0.0,Mouse
0.0,pursuit,43.0,45.0,14.0,61.0,0.0,Mouse
0.0,pursuit,64.0,59.0,88.0,93.0,0.0,Mouse
0.0,pursuit,89.0,11.0,79.0,76.0,0.0,Mouse
0.0,pursuit,98.0,25.0,30.0,99.0,0.0,Mouse
0.0,pursuit,22.0,13.0,27.0,35.0,0.0,Mouse
0.0,pursuit,21.0,44.0,17.0,4.0,0.0,Mouse
0.0,pursuit,10.0,82.0,92.0,16.0,0.0,Mouse
0.0,pursuit,6.0,66.0,62.0,68.0,0.0,Mouse
0.0,pursuit,34.0,94.0,8.0,37.0,0.0,Mouse
